Código da compra,Data da compra,Produto,Responsável pela entrega,Código de rastreio,Status de envio,Link de rastreio
HP0551667042,10/12/2025,"Livro 365 Dias de Atendimento - Físico + Digital",Própria,SQ000290078BR,Enviado,https://www.linkcorreios.com.br/?id=SQ000290078BR
HP4022502194,10/12/2025,"Livro 365 Dias de Branding - Físico + Digital",Própria,SQ000290081BR,Enviado,https://www.linkcorreios.com.br/?id=SQ000290081BR
HP3053671647,01/12/2025,"Livro 100 Maneiras de Humanizar Sem Aparecer - Físico + Digital",Própria,SQ000289931BR,Enviado,https://www.linkcorreios.com.br/?id=SQ000289931BR
HP0886381093,01/12/2025,"Livro 365 Dias de Branding - Físico + Digital",Própria,SQ000289928BR,Enviado,https://www.linkcorreios.com.br/?id=SQ000289928BR
